"N","M","bias_iid","var_iid","mse_iid","mean_t_iid","bias_2w","var_2w","mse_2w","mean_t_2w"
20,20,0.0653936285967181,0.121840111690525,0.120685359043376,0.738844000000001,0.579342942005698,94.0464663722176,94.0932430922862,3.554556
40,40,0.00265180355585142,0.0218999020452381,0.0197617583696112,1.29796599999999,0.00116580183298292,0.034732806145062,0.0320346807040343,5.78249200000002
60,60,0.00468568994380082,0.011620670599601,0.0109655617536151,2.30153600000003,0.00664830563644317,0.0161180138958341,0.0156523314803547,9.68086399999998
80,80,0.00470561314848885,0.00928257841507405,0.00877045801955755,3.78294399999997,0.00493941776924818,0.00975563770346355,0.00917983052581471,15.99015
