"theta","se","time","method","n","truth"
36.440382662845,1.07922395019802,0.487,"iid",400,38.38912
37.3734632106166,1.24839195973554,0.359999999999999,"emm",400,38.38912
38.2868688026471,1.29141568971574,0.441,"iid",400,38.38912
33.4383502988543,2.39470151659536,0.296,"emm",400,38.38912
39.8168823479147,1.13135111649455,0.433000000000001,"iid",400,38.38912
36.8228832202079,2.31494498253679,0.263,"emm",400,38.38912
40.5089723233093,1.40313517805278,0.353000000000002,"iid",400,38.38912
45.1364450770255,1.9035626239679,0.254999999999999,"emm",400,38.38912
38.2717733831321,1.11291223742545,0.348000000000001,"iid",400,38.38912
40.2860053888806,4.18312900444957,0.35,"emm",400,38.38912
39.7780984852886,1.11223022110379,0.371,"iid",400,38.38912
39.5720679060656,1.28085727147944,0.244999999999999,"emm",400,38.38912
40.2634096794921,1.17211913478404,0.343,"iid",400,38.38912
30.4397214752699,8.93664627112255,0.242999999999999,"emm",400,38.38912
37.4234223822601,1.14427642159739,0.341999999999999,"iid",400,38.38912
39.911062535614,2.44366921936536,0.234999999999999,"emm",400,38.38912
37.9471307739821,1.13750617183959,0.347,"iid",400,38.38912
37.3592316184596,2.31336472902494,0.244,"emm",400,38.38912
37.8932966064589,1.13958983780444,0.342000000000001,"iid",400,38.38912
38.6984833172123,1.21266893028062,0.256,"emm",400,38.38912
39.8820702545818,1.12446888304648,0.350999999999999,"iid",400,38.38912
44.4157841240128,2.89441497498871,0.241,"emm",400,38.38912
38.8815344889106,1.16523636096403,0.342000000000001,"iid",400,38.38912
37.4714735081564,2.39932111384995,0.249000000000001,"emm",400,38.38912
38.6188672876052,1.03390190117547,0.349,"iid",400,38.38912
44.5285760715309,3.70670823955079,0.249000000000002,"emm",400,38.38912
38.5137539682545,1.04196885000584,0.344000000000001,"iid",400,38.38912
40.2545247703048,2.27797352296034,0.243000000000002,"emm",400,38.38912
39.3966132603595,1.18833414176253,0.344000000000001,"iid",400,38.38912
40.767764110567,1.72482683100896,0.253999999999998,"emm",400,38.38912
38.6808932697143,1.10851210929732,0.338000000000001,"iid",400,38.38912
38.3122089362132,1.51379187182596,0.244999999999997,"emm",400,38.38912
40.554619128612,1.14375968087723,0.344000000000001,"iid",400,38.38912
44.7572635312247,4.01786667604636,0.25,"emm",400,38.38912
38.6172349374546,1.10944590740597,0.34,"iid",400,38.38912
38.5723089210855,2.21012180656391,0.244,"emm",400,38.38912
38.6166431512396,1.06717254885721,0.34,"iid",400,38.38912
39.0153413173626,1.21829993756039,0.245999999999999,"emm",400,38.38912
36.8717032085311,1.0332399344533,0.346999999999998,"iid",400,38.38912
34.0955362933909,4.63141025389416,0.248999999999999,"emm",400,38.38912
36.1478195750201,1.18687431154017,0.349,"iid",400,38.38912
35.6016565054936,1.88481352997337,0.246000000000002,"emm",400,38.38912
37.8309725075925,1.16631687484432,0.344000000000001,"iid",400,38.38912
38.4360784866184,1.7075893690399,0.241,"emm",400,38.38912
39.6837841580928,1.19696150564799,0.344000000000001,"iid",400,38.38912
41.7583938957062,1.93678632080554,0.249000000000002,"emm",400,38.38912
38.6625489726521,1.05979702925915,0.337,"iid",400,38.38912
44.9852287968856,5.50280862172175,0.239999999999998,"emm",400,38.38912
38.3055488021782,1.02621534437602,0.338000000000001,"iid",400,38.38912
43.9708235189815,4.41867494228463,0.241999999999997,"emm",400,38.38912
36.082790073675,1.18002268797232,0.343999999999998,"iid",400,38.38912
47.5466990433255,5.57450858330966,0.237000000000002,"emm",400,38.38912
37.3406796967053,1.6661100591799,0.349999999999998,"iid",400,38.38912
38.8878197864171,1.66170601993434,0.247,"emm",400,38.38912
38.3699859036336,1.22406299364223,0.344000000000001,"iid",400,38.38912
36.6031852798971,1.59482524667463,0.241,"emm",400,38.38912
38.5304633607522,1.0380474129104,0.350000000000001,"iid",400,38.38912
40.8757740864342,1.91267186098763,0.241,"emm",400,38.38912
38.6476487413619,1.1075435753836,0.344999999999999,"iid",400,38.38912
36.6388119877671,1.62892117643037,0.243000000000002,"emm",400,38.38912
37.8234986918771,1.18504277204632,0.338000000000001,"iid",400,38.38912
40.72682489523,3.0534559620503,0.244,"emm",400,38.38912
39.9613501495676,1.13110923017541,0.346,"iid",400,38.38912
38.8475219424148,2.06306120724212,0.239000000000001,"emm",400,38.38912
38.3406757503936,1.09867775254853,0.342999999999996,"iid",400,38.38912
40.4927342585932,2.39608223361882,0.243000000000002,"emm",400,38.38912
36.9112062410594,1.00417906379348,0.339999999999996,"iid",400,38.38912
29.6854061429254,2.82678818731747,0.225999999999999,"emm",400,38.38912
39.4534191522931,1.09481419287641,0.349000000000004,"iid",400,38.38912
38.2464488031959,1.26972520307749,0.244999999999997,"emm",400,38.38912
36.9861858850825,1.15454573154608,0.344999999999999,"iid",400,38.38912
42.2238852273263,2.54416790696248,0.251999999999995,"emm",400,38.38912
38.9707550541355,1.09061598833779,0.344000000000001,"iid",400,38.38912
38.0439462558836,1.68215913710384,0.238999999999997,"emm",400,38.38912
39.262881022116,1.3634654308872,0.350999999999999,"iid",400,38.38912
44.9204553824556,2.78235339451015,0.241999999999997,"emm",400,38.38912
37.4711595542994,1.12972124178498,0.341999999999999,"iid",400,38.38912
44.327982607212,5.30793440390921,0.234999999999999,"emm",400,38.38912
39.5547410142663,1.06630115379303,0.344000000000001,"iid",400,38.38912
40.155651116596,1.58904711538923,0.236999999999995,"emm",400,38.38912
38.1296769354335,1.13504204211089,0.347000000000001,"iid",400,38.38912
39.9164159912898,2.71798739615787,0.244999999999997,"emm",400,38.38912
37.1926176454764,1.14292607111089,0.341999999999999,"iid",400,38.38912
33.796043890401,5.78440022561795,0.250999999999998,"emm",400,38.38912
39.627758586746,1.13725842081216,0.347999999999999,"iid",400,38.38912
42.3163099477475,1.95702667292154,0.236999999999995,"emm",400,38.38912
38.3469392224225,1.11414274939747,0.350999999999999,"iid",400,38.38912
45.0172605565215,4.21441516355984,0.250999999999998,"emm",400,38.38912
37.6752551059856,1.25783901600393,0.351999999999997,"iid",400,38.38912
39.1551432718533,2.88419424104126,0.234999999999999,"emm",400,38.38912
36.5032769636099,1.26346238090126,0.348000000000006,"iid",400,38.38912
38.0019044115791,1.57592371021841,0.242999999999995,"emm",400,38.38912
38.7095606313449,1.86386684188999,0.339999999999996,"iid",400,38.38912
33.5894968168371,4.29200697110816,0.241,"emm",400,38.38912
37.1233858731621,1.06505451875075,0.344999999999999,"iid",400,38.38912
35.9270314720729,1.6974868369933,0.25,"emm",400,38.38912
37.2689082710793,1.0604900749787,0.347000000000001,"iid",400,38.38912
42.2547154824082,2.06971841137236,0.247,"emm",400,38.38912
38.939414310009,1.21390191414818,0.346000000000004,"iid",400,38.38912
38.0301584085141,3.49725532410776,0.247,"emm",400,38.38912
37.974059638521,0.997790545208024,0.344999999999999,"iid",400,38.38912
41.9434142796182,2.15922105118073,0.238999999999997,"emm",400,38.38912
38.3912129681092,1.24668886785583,0.335000000000001,"iid",400,38.38912
27.294157524499,5.26396948816691,0.247999999999998,"emm",400,38.38912
35.7680377361579,1.22388788779129,0.342999999999996,"iid",400,38.38912
37.9850484279457,1.76174315911175,0.244,"emm",400,38.38912
38.9983782031458,1.04357027213363,0.347000000000001,"iid",400,38.38912
37.5500528253101,1.62314921301062,0.231999999999999,"emm",400,38.38912
38.0487708772454,1.5882856309214,0.338000000000001,"iid",400,38.38912
40.1584016009498,2.83308037441924,0.250999999999998,"emm",400,38.38912
