"N","M","bias_iid","var_iid","mse_iid","mean_t_iid","bias_2w","var_2w","mse_2w","mean_t_2w"
20,20,0.0143651901921487,22.2914651911059,22.2471071904829,0.0413359999999997,0.188090673674375,123.517164016222,123.308691611047,0.0696339999999997
40,40,0.00274926471576753,0.680174636621024,0.678822526020946,0.0780040000000011,0.105944882538093,3.86625988511064,3.87076180617948,0.107174000000001
60,60,0.0171107038407667,0.229616172388531,0.229476064366711,0.144241999999998,-0.0113915074313863,0.612972263575309,0.611887763707239,0.168774000000001
80,80,-1.48218320908234e-05,0.0282647190532575,0.0282081898546082,0.253285999999999,0.00585081797064729,0.0846970099347256,0.0845649286710934,0.279089999999998
