"method","T","bias","variance","mse","mean_time"
"iid",400,-0.00730352011444734,0.00967372848743104,0.00970772243651831,0.457675999999999
"nlo",400,-0.00769420715773871,0.0096189593202217,0.00965892222536745,0.458013999999996
"iid",900,0.00233273940479896,0.00371285759558052,0.00371087355352006,0.57450800000002
"nlo",900,0.00177779369761422,0.00385544905124552,0.0038508987035743,0.571840000000018
"iid",1600,-0.00331894187607663,0.00216467608056562,0.00217136210358126,0.742065999999975
"nlo",1600,-0.00364295761686015,0.00214221745982778,0.00215120416510636,0.738727999999974
"iid",2500,-0.00099027872950539,0.0013616937937108,0.00135995105808549,0.96865400000002
"nlo",2500,-0.00134599327409624,0.00138227147070208,0.00138131862565459,0.963203999999991
